mode,m,call_count,experts,hidden_size,intermediate_size,topk,group_size,gems_us,native_us,speedup
kernel,1,172,256,4096,256,6,128,100.8400022983551,157.83999860286713,1.5652518346426278
kernel,2,172,256,4096,256,6,128,159.11999344825745,199.71999526023865,1.2551533652820535
kernel,4,172,256,4096,256,6,128,268.559992313385,338.6000096797943,1.260798403973288
kernel,8,172,256,4096,256,6,128,494.04001235961914,581.0199975967407,1.1760585844488392
kernel,16,172,256,4096,256,6,128,851.0800004005432,1043.67995262146,1.2263006440408346
kernel,24,172,256,4096,256,6,128,1174.9799847602844,1436.3600015640259,1.2224548674819065
kernel,32,172,256,4096,256,6,128,1355.9600114822388,1644.1600322723389,1.212543156398145
kernel,40,172,256,4096,256,6,128,1617.4800395965576,1975.000023841858,1.22103517539201
kernel,48,172,256,4096,256,6,128,1739.7199869155884,2129.92000579834,1.2242889785812894
kernel,56,172,256,4096,256,6,128,1848.3999967575073,2273.6001014709473,1.2300368456282909
kernel,64,172,256,4096,256,6,128,1937.3800158500671,2399.240016937256,1.238394118504695
kernel,72,172,256,4096,256,6,128,2086.8799686431885,2588.9400243759155,1.2405792682265036
kernel,80,172,256,4096,256,6,128,2085.7399702072144,2592.180013656616,1.2428107293734645
kernel,88,172,256,4096,256,6,128,2181.3600063323975,2738.800048828125,1.2555470169424132
kernel,96,172,256,4096,256,6,128,2115.679979324341,2656.019926071167,1.2553977690517202
kernel,104,172,256,4096,256,6,128,2256.5999031066895,2825.0800371170044,1.251918886120522
kernel,112,172,256,4096,256,6,128,2351.4400720596313,2948.6000537872314,1.2539550077517163
kernel,120,172,256,4096,256,6,128,2285.320043563843,2859.4400882720947,1.2512208503684852
kernel,128,172,256,4096,256,6,128,2347.0200300216675,2919.540047645569,1.243934866469212
kernel,136,172,256,4096,256,6,128,2315.119981765747,2926.640033721924,1.2641418400655715
kernel,144,172,256,4096,256,6,128,2359.179973602295,2976.720094680786,1.261760496438749
