format,mode,m,experts,hidden_size,intermediate_size,topk,call_count,gems_us,vllm_us,speedup
mxfp4,kernel,1,256,4096,256,6,172,94.92000192403793,160.8400046825409,1.6944795767203742
mxfp4,kernel,2,256,4096,256,6,172,152.54000574350357,210.7200026512146,1.3814081206050355
mxfp4,kernel,4,256,4096,256,6,172,273.360013961792,356.59998655319214,1.3045067615596286
mxfp4,kernel,8,256,4096,256,6,172,456.4799964427948,609.3799769878387,1.334954393919877
mxfp4,kernel,16,256,4096,256,6,172,749.6199905872345,1095.1799750328064,1.4609802150218385
mxfp4,kernel,24,256,4096,256,6,172,1001.1600255966187,1506.9999694824219,1.5052538365026704
mxfp4,kernel,32,256,4096,256,6,172,1159.0399742126465,1760.1200342178345,1.5186016646350018
mxfp4,kernel,40,256,4096,256,6,172,1388.260006904602,2105.039954185486,1.5163153470646218
mxfp4,kernel,48,256,4096,256,6,172,1482.9599857330322,2266.7999267578125,1.5285644579528728
mxfp4,kernel,56,256,4096,256,6,172,1581.5600156784058,2402.0400047302246,1.5187789150700526
mxfp4,kernel,64,256,4096,256,6,172,1665.5199527740479,2547.1999645233154,1.529372230143964
mxfp4,kernel,72,256,4096,256,6,172,1785.9200239181519,2759.9200010299683,1.5453771524297857
mxfp4,kernel,80,256,4096,256,6,172,1790.9200191497803,2764.9199962615967,1.5438545366052763
mxfp4,kernel,88,256,4096,256,6,172,1879.3599605560303,2906.659960746765,1.5466222659584576
mxfp4,kernel,96,256,4096,256,6,172,1820.7199573516846,2801.640033721924,1.5387539541210005
mxfp4,kernel,104,256,4096,256,6,172,1930.6399822235107,3006.6399574279785,1.5573281321799017
mxfp4,kernel,112,256,4096,256,6,172,2028.6200046539307,3148.4400033950806,1.5520107246167987
mxfp4,kernel,120,256,4096,256,6,172,1970.2800512313843,3054.680109024048,1.5503786414093448
mxfp4,kernel,128,256,4096,256,6,172,2019.6399688720703,3114.419937133789,1.5420668956522643
mxfp4,kernel,136,256,4096,256,6,172,1991.0800457000732,3115.4000759124756,1.5646784681713215
mxfp4,kernel,144,256,4096,256,6,172,2029.1399955749512,3171.4799404144287,1.5629675366562368
mxfp4,kernel,152,256,4096,256,6,172,2037.8000736236572,3166.100025177002,1.5536853031646911
mxfp4,kernel,160,256,4096,256,6,172,2068.160057067871,3225.559949874878,1.5596278145164004
mxfp4,kernel,168,256,4096,256,6,172,2046.1599826812744,3232.480049133301,1.5797787448161704
mxfp4,kernel,176,256,4096,256,6,172,2086.560010910034,3272.520065307617,1.5683805153920962
mxfp4,kernel,184,256,4096,256,6,172,2077.4999856948853,3357.699990272522,1.6162214264225054
mxfp4,kernel,192,256,4096,256,6,172,2093.4600830078125,3348.2800722122192,1.599400007379899
mxfp4,kernel,200,256,4096,256,6,172,2093.8000679016113,3414.1199588775635,1.6305854657360699
mxfp4,kernel,208,256,4096,256,6,172,2113.4999990463257,3430.419921875,1.6230990884423506
mxfp4,kernel,216,256,4096,256,6,172,2118.480086326599,3520.440101623535,1.6617763482157182
mxfp4,kernel,224,256,4096,256,6,172,2109.3000173568726,3520.7200050354004,1.669141409976924
mxfp4,kernel,232,256,4096,256,6,172,2124.039888381958,3600.3400087356567,1.6950435010325104
mxfp4,kernel,240,256,4096,256,6,172,2108.280062675476,3655.359983444214,1.7338113887988122
mxfp4,kernel,248,256,4096,256,6,172,2100.9000539779663,3707.0800065994263,1.7645199254387307
mxfp4,kernel,256,256,4096,256,6,172,2068.20011138916,3653.320074081421,1.7664248512333625
mxfp4,kernel,272,256,4096,256,6,172,2074.679970741272,3879.4000148773193,1.8698787618271702
mxfp4,kernel,288,256,4096,256,6,172,2075.079917907715,3972.399950027466,1.9143358844862237
mxfp4,kernel,304,256,4096,256,6,172,2072.4000930786133,4151.800155639648,2.00337771143024
mxfp4,kernel,320,256,4096,256,6,172,2079.7600746154785,4192.319869995117,2.0157709156765233
mxfp4,kernel,336,256,4096,256,6,172,2078.439950942993,4203.320026397705,2.0223437412712593
mxfp4,kernel,352,256,4096,256,6,172,2081.360101699829,4202.079772949219,2.018910504490509
mxfp4,kernel,368,256,4096,256,6,172,2155.280113220215,4325.88005065918,2.007108043230567
mxfp4,kernel,384,256,4096,256,6,172,2092.260003089905,4275.879859924316,2.0436656312358807
mxfp4,kernel,400,256,4096,256,6,172,2112.9599809646606,4307.219982147217,2.0384768386293706
mxfp4,kernel,416,256,4096,256,6,172,2181.5600395202637,4377.5200843811035,2.006600783420906
mxfp4,kernel,432,256,4096,256,6,172,2191.279888153076,4383.1799030303955,2.0002829974973055
mxfp4,kernel,448,256,4096,256,6,172,2201.2799978256226,4416.959762573242,2.0065415426189404
mxfp4,kernel,464,256,4096,256,6,172,2211.9799852371216,4439.580202102661,2.007061651431147
mxfp4,kernel,480,256,4096,256,6,172,2240.5799627304077,4547.080039978027,2.029421005103018
mxfp4,kernel,496,256,4096,256,6,344,2268.160104751587,4635.3600025177,2.04366525661352
mxfp4,kernel,512,256,4096,256,6,344,2369.439959526062,4729.200124740601,1.9959147332378662
mxfp4,kernel,2048,256,4096,256,6,43,4262.279987335205,19187.040328979492,4.501590788496114
mxfp4,kernel,16384,256,4096,256,6,946,30102.840423583984,121874.51934814453,4.048605302131632
mxfp4,cudagraph,1,256,4096,256,6,172,87.35787570476532,138.19804142430885,1.5819757555845675
mxfp4,cudagraph,2,256,4096,256,6,172,146.96206753335852,194.66912078857425,1.3246215438850357
mxfp4,cudagraph,4,256,4096,256,6,172,260.57728425956066,339.8895681339459,1.3043714424292732
mxfp4,cudagraph,8,256,4096,256,6,172,450.80228805541987,593.0943585082189,1.3156418550282651
mxfp4,cudagraph,16,256,4096,256,6,172,748.2511890468313,1086.3400134411488,1.4518386730865018
mxfp4,cudagraph,24,256,4096,256,6,172,992.611198425293,1500.1273522010217,1.5112940037155203
mxfp4,cudagraph,32,256,4096,256,6,172,1146.3289808952943,1750.7336934407551,1.5272524053901304
mxfp4,cudagraph,40,256,4096,256,6,172,1380.9580868237638,2102.4344423983957,1.522446236752952
mxfp4,cudagraph,48,256,4096,256,6,172,1474.5021010890152,2250.8114034479318,1.5264891123488815
mxfp4,cudagraph,56,256,4096,256,6,172,1571.0874795913696,2402.498012635766,1.5291942962085352
mxfp4,cudagraph,64,256,4096,256,6,172,1649.6787149398053,2547.1127827962237,1.5440053628194896
mxfp4,cudagraph,72,256,4096,256,6,172,1775.0720977783203,2750.5633036295576,1.5495501884527179
mxfp4,cudagraph,80,256,4096,256,6,172,1778.4078461783272,2760.9111997816294,1.5524623363052703
mxfp4,cudagraph,88,256,4096,256,6,172,1868.1834238880083,2900.6975959329043,1.5526835100035616
mxfp4,cudagraph,96,256,4096,256,6,172,1809.2483520507812,2794.4091796875,1.5445138731341332
mxfp4,cudagraph,104,256,4096,256,6,172,1922.73136213714,2997.6570822975855,1.5590618332483286
mxfp4,cudagraph,112,256,4096,256,6,172,2015.1841299874445,3136.881920599168,1.5566229774838056
mxfp4,cudagraph,120,256,4096,256,6,172,1952.5521970262714,3048.5931634902954,1.5613376011833586
mxfp4,cudagraph,128,256,4096,256,6,172,2003.8095855712893,3111.9143962860107,1.5529990567436072
mxfp4,cudagraph,136,256,4096,256,6,172,1978.3992004394531,3107.5212955474854,1.5707251068728825
mxfp4,cudagraph,144,256,4096,256,6,172,2015.32083628129,3162.7786697879915,1.5693673249684716
mxfp4,cudagraph,152,256,4096,256,6,172,2021.3559209084026,3159.9774514475175,1.5632959137782205
mxfp4,cudagraph,160,256,4096,256,6,172,2045.386567407725,3222.7581393334176,1.575623009697314
mxfp4,cudagraph,168,256,4096,256,6,172,2038.5908285776777,3220.05610312185,1.5795499803010882
mxfp4,cudagraph,176,256,4096,256,6,172,2078.235864639282,3260.782750447591,1.569014761957042
mxfp4,cudagraph,184,256,4096,256,6,172,2069.812059402466,3349.444816852438,1.6182362073102374
mxfp4,cudagraph,192,256,4096,256,6,172,2077.9629971118684,3338.6744795174436,1.6067054534454273
mxfp4,cudagraph,200,256,4096,256,6,172,2076.6387780507403,3403.4089713261046,1.6389027342158908
mxfp4,cudagraph,208,256,4096,256,6,172,2095.5928234343833,3425.302176639952,1.6345265828055096
mxfp4,cudagraph,216,256,4096,256,6,172,2106.7357164748173,3514.872142246791,1.6683972815195807
mxfp4,cudagraph,224,256,4096,256,6,172,2101.211229960124,3513.5250091552734,1.6721426951549045
mxfp4,cudagraph,232,256,4096,256,6,172,2103.658716729347,3586.3689846462676,1.70482453076902
mxfp4,cudagraph,240,256,4096,256,6,172,2085.8263867966675,3646.8111673990884,1.7483771374662307
mxfp4,cudagraph,248,256,4096,256,6,172,2089.361270268758,3705.535301795373,1.7735254091881985
mxfp4,cudagraph,256,256,4096,256,6,172,2052.3708661397295,3654.8569290726273,1.7807975105137734
mxfp4,cudagraph,272,256,4096,256,6,172,2053.5037517547607,3868.9584350585938,1.8840766332919967
mxfp4,cudagraph,288,256,4096,256,6,172,2055.6999842325845,3963.2264709472656,1.9279206602838896
mxfp4,cudagraph,304,256,4096,256,6,172,2057.275454203288,4149.671713511149,2.017071513215606
mxfp4,cudagraph,320,256,4096,256,6,172,2060.139576594035,4179.756496263587,2.0288705404969933
mxfp4,cudagraph,336,256,4096,256,6,172,2062.2525215148926,4193.588754405147,2.0334991523368893
mxfp4,cudagraph,352,256,4096,256,6,172,2062.411228815715,4195.486151653787,2.034262659665082
mxfp4,cudagraph,368,256,4096,256,6,172,2142.048711362093,4319.6948507557745,2.0166184026734633
mxfp4,cudagraph,384,256,4096,256,6,172,2077.0824750264487,4268.619039784307,2.0551032956599142
mxfp4,cudagraph,400,256,4096,256,6,172,2096.0344355157085,4298.159889552904,2.0506151123873995
